"Tautība";"Vecuma grupa";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Poļi";"45–49 gadi";3665;3385;3207;3020;2892;2793;2744;2726;2670;2691;2720;2750;2685;2665
"Poļi";"50–54 gadi";3720;3751;3730;3691;3610;3432;3200;3007;2850;2716;2643;2599;2594;2554
"Poļi";"55–59 gadi";3270;3241;3251;3347;3358;3464;3531;3503;3459;3377;3225;3010;2864;2716
"Poļi";"60–64 gadi";3846;3698;3650;3437;3213;3023;3010;3031;3104;3107;3228;3296;3284;3249
"Poļi";"65–69 gadi";3753;3529;3417;3439;3510;3506;3380;3326;3115;2926;2747;2739;2766;2838
"Poļi";"70–74 gadi";2990;3185;3227;3226;3255;3208;3055;2971;3015;3088;3109;2994;2925;2761
"Poļi";"75–79 gadi";2380;2384;2322;2315;2361;2428;2565;2588;2629;2677;2648;2493;2430;2470
"Poļi";"80–84 gadi";1535;1621;1702;1722;1693;1685;1719;1686;1697;1726;1775;1865;1888;1928
"Poļi";"85 gadi un vairāk";957;954;993;1071;1135;1184;1231;1298;1350;1364;1385;1395;1391;1443
"Ukraiņi";"Pavisam";49134;47495;46335;45282;44709;44639;43623;43128;43069;42929;42282;41895;56675;59597
"Ukraiņi";"0–4 gadi";483;426;382;398;454;496;517;559;511;457;401;377;1533;1428
"Ukraiņi";"5–9 gadi";819;741;668;601;532;475;465;437;470;522;541;545;2310;2403
"Ukraiņi";"10–14 gadi";1025;954;915;887;852;803;730;686;630;567;519;509;2207;2286
"Ukraiņi";"15–19 gadi";1498;1277;1129;1040;1005;998;936;909;899;883;827;785;2090;2449
"Ukraiņi";"20–24 gadi";2657;2426;2129;1858;1592;1378;1218;1088;1032;1015;1029;1015;1761;2013
"Ukraiņi";"25–29 gadi";2828;2685;2668;2526;2467;2494;2395;2165;1968;1790;1552;1381;2270;2456
"Ukraiņi";"30–34 gadi";2758;2598;2509;2500;2523;2652;2639;2765;2839;2938;2862;2759;3797;3737
"Ukraiņi";"35–39 gadi";2961;2795;2727;2648;2590;2689;2619;2638;2792;2925;2951;3069;4748;5098
"Ukraiņi";"40–44 gadi";3898;3481;3175;2953;2905;2910;2734;2752;2873;2869;2881;3002;4135;4675
"Ukraiņi";"45–49 gadi";4946;4669;4382;4158;3920;3770;3333;3104;3000;3005;2938;2922;3891;4270
"Ukraiņi";"50–54 gadi";5381;5380;5283;5029;4858;4665;4478;4212;4049;3835;3627;3394;3841;4053
"Ukraiņi";"55–59 gadi";5018;4927;4931;4995;5027;5001;5007;4954;4781;4621;4435;4297;4666;4717
"Ukraiņi";"60–64 gadi";4504;4642;4701;4672;4572;4599;4551;4603;4699;4702;4660;4715;5258;5280
"Ukraiņi";"65–69 gadi";2793;2750;2912;3326;3746;4120;4228;4276;4260;4186;4194;4168;4587;4759
"Ukraiņi";"70–74 gadi";3858;3845;3448;2990;2636;2375;2399;2571;2929;3323;3669;3728;4002;4009
"Ukraiņi";"75–79 gadi";1517;1692;2162;2582;2959;3060;3079;2780;2438;2128;1929;1953;2186;2587
"Ukraiņi";"80–84 gadi";1397;1348;1263;1128;1066;1072;1222;1586;1885;2191;2249;2200;2061;1841
"Ukraiņi";"85 gadi un vairāk";793;859;951;991;1005;1082;1073;1043;1014;972;1018;1076;1332;1536
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"Pavisam";50123;52358;55680;57020;58656;59930;61602;64510;67885;70270;71314;72786;82683;83942
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"0–4 gadi";21353;21589;21271;18459;16090;13911;11796;9627;9868;9872;9533;9076;8991;8544
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"5–9 gadi";6675;9766;13346;16125;18555;20149;20655;20624;18038;15877;13745;11694;10157;10324
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"10–14 gadi";2402;2384;2478;3258;4316;6277;9265;12736;15467;17878;19487;20022;20673;18093
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"15–19 gadi";1414;1426;1665;1912;2133;2164;2252;2479;3347;4289;6099;8736;12519;15179
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"20–24 gadi";1276;1121;1073;1334;1621;1379;1531;2248;3079;3417;3316;3181;3844;4664
